,Name,Date,Rate,Genre,Certificate
5058,Liar,2021,7.1,"Crime, Drama, Thriller",TV-14
5080,Great White,2021,4.1,"Horror, Thriller",None
4974,A House on the Bayou,2021,,"Horror, Thriller",None
5081,Motherland,2021,7.8,Comedy,TV-MA
5086,Spider-Man 4: Fan Film,2021,,"Action, Adventure, Drama",None
5098,Algoissjiman,2021,7.3,"Drama, Romance",None
5106,Moxie,2021,6.7,"Comedy, Drama, Music",PG-13
5107,Tin Star,2021,7.3,"Crime, Drama, Thriller",TV-MA
5156,Rurôni Kenshin: Sai shûshô - The Beginning,2021,7.5,"Action, Adventure, Drama",TV-MA
5166,Întregalde,2021,7.2,"Comedy, Drama",None
5200,Boxing Day,2021,,"Comedy, Romance",None
5201,Mike & Molly,2021,6.4,Comedy,TV-14
5202,Hot in Cleveland,2021,7.3,Comedy,TV-PG
5203,Melissa & Joey,2021,7.0,"Comedy, Romance",TV-14
5204,Designing Women,2021,7.1,Comedy,TV-PG
5206,Qismat 2,2021,7.5,"Drama, Romance",None
5207,'Allo 'Allo!,2021,8.3,"Comedy, History, War",None
4981,Bad Trip,2021,6.6,Comedy,Unrated
4956,Ryû to sobakasu no hime,2021,7.2,"Animation, Adventure, Drama",None
4552,Ci sha xiao shuo jia,2021,6.2,"Action, Adventure, Crime",None
4646,The Map of Tiny Perfect Things,2021,6.8,"Comedy, Fantasy, Romance",PG-13
4563,Superhost,2021,5.8,"Horror, Thriller",None
4566,Generation,2021,6.8,"Comedy, Drama",TV-MA
4567,Power Rangers: Dino Fury,2021,6.8,"Action, Adventure, Comedy",TV-Y7
4571,Locked Down,2021,5.2,"Comedy, Crime, Romance",R
4574,13 Minutes (II),2021,,"Action, Drama, Thriller",PG-13
4590,Je Suis Karl,2021,5.4,"Drama, Romance, Thriller",None
4591,Perception,2021,7.5,"Crime, Drama, Mystery",TV-14
4607,The Gateway,2021,4.5,Thriller,R
4608,Crossing Lines,2021,7.3,"Action, Crime, Drama",TV-14
4609,Finding Alice,2021,5.8,"Comedy, Drama",Not Rated
4613,The God Committee,2021,5.7,Thriller,None
4614,Secrets of Sulphur Springs,2021,7.7,"Adventure, Drama, Family",TV-PG
4635,Aileen Wuornos: American Boogeywoman,2021,4.1,"Drama, Horror, Thriller",R
4636,Dragon Ball Super: Doragon bôru cho,2021,8.3,"Animation, Action, Adventure",TV-PG
4659,To Catch a Spy,2021,6.3,"Mystery, Romance",None
4950,Our Father,2021,5.4,"Comedy, Drama",None
4660,Da Vinci's Demons,2021,8.0,"Adventure, Biography, Drama",TV-MA
4773,Endangered Species,2021,4.5,"Action, Thriller",R
4803,The White Tiger,2021,7.1,"Crime, Drama",R
4809,Swallow,2021,3.9,"Drama, History, Thriller",TV-14
4820,The Unforgivable,2021,,Drama,R
4821,Trigger Point,2021,4.9,"Action, Mystery, Thriller",Not Rated
4822,Liv and Maddie,2021,6.4,"Comedy, Drama, Family",TV-G
4835,Ted Bundy: American Boogeyman,2021,3.7,Crime,None
4875,Silent Hours,2021,5.0,Thriller,None
4906,American Gangster Presents: Big 50 - The Delrhonda Hood Story,2021,4.0,Drama,None
4907,Bad Blood,2021,7.5,"Crime, Drama",TV-MA
4921,Le dernier mercenaire,2021,5.3,"Action, Adventure, Comedy",TV-MA
4925,People Just Do Nothing: Big in Japan,2021,7.1,"Comedy, Music",R
4949,The Last Inn,2021,2.7,"Drama, Fantasy, Horror",TV-MA
5208,Monsterland,2021,5.6,"Drama, Fantasy, Horror",TV-MA
5213,Land,2021,6.6,"Adventure, Drama",PG-13
5220,Friends: The Reunion,2021,8.1,"Documentary, Biography, Comedy",TV-14
6075,People Just Do Nothing: Big in Japan,2021,7.1,"Comedy, Music",R
5796,The Map of Tiny Perfect Things,2021,6.8,"Comedy, Fantasy, Romance",PG-13
5809,To Catch a Spy,2021,6.3,"Mystery, Romance",None
5810,Da Vinci's Demons,2021,8.0,"Adventure, Biography, Drama",TV-MA
5923,Endangered Species,2021,4.5,"Action, Thriller",R
5953,The White Tiger,2021,7.1,"Crime, Drama",R
5959,Swallow,2021,3.9,"Drama, History, Thriller",TV-14
5970,The Unforgivable,2021,,Drama,R
